Город,Цена в месяц,Оплата ЖКХ,Срок аренды,Условия проживания,Комиссия,Предоплата,Залог,Метро,Холодильник,Стиральная машина,Мебель в комнатах,Мебель на кухне,Телевизор,Интернет,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Тип дома,Тип перекрытий,Парковка,Санузел,Вид из окон,Количество лифтов,Год постройки,Подъезды,Ремонт,Отопление,Газоснабжение,Мусоропровод
1,-0.3857245588244171,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.019052478177783123,1,1,1,1,1,1,1,-0.4588721304195067,-0.40321238075988686,-0.5630480451094027,-0.33239279515177855,1,1,1,1,1,1,2021.0,8.0,1,1,2,1
1,-0.3857245588244171,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.019052478177783123,2,1,1,1,1,1,1,-0.7049026035406101,-0.6461272788626149,-0.5630480451094027,-0.27691563839377303,2,1,2,1,1,2,1967.0,8.0,1,1,2,1
1,-0.3857245588244171,-0.00012609021630315037,1,1,1.0146203873476254,1,-0.019052478177783123,3,1,1,1,1,0,0,-0.0488213418843343,-0.01454854379552192,0.9022743095392511,-0.05500701136175168,1,1,2,2,2,3,2022.0,5.0,1,1,2,1
1,-0.3857245588244171,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.019052478177783123,4,1,1,1,1,1,1,0.005852096587022023,0.13120039506611492,-0.5630480451094027,-0.27691563839377303,3,1,2,1,1,1,1963.0,1.0,1,1,2,1
1,-0.3857245588244171,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.019052478177783123,5,1,1,1,1,1,1,-0.07615806112001246,-0.20888046227770438,-0.4002344501484411,-0.05500701136175168,1,1,2,3,1,4,2004.0,5.0,2,1,2,1
1,-0.3857245588244171,-0.00012609021630315037,1,2,1.343467127333287,1,-0.019052478177783123,6,1,1,1,1,1,1,-0.0488213418843343,-0.20888046227770438,-0.23742085518747957,0.2223787724282758,1,1,2,1,1,1,2016.0,5.0,2,2,2,3
1,-0.3857245588244171,-0.00012609021630315037,1,2,0.028080167390640128,1,-0.019052478177783123,7,1,1,1,1,1,1,-0.22651001691624234,-0.25746344189825,-0.5630480451094027,-0.05500701136175168,3,1,2,1,1,5,1980.0,2.0,1,1,2,1
1,-0.3857245588244171,-0.00012609021630315037,1,2,0.6857736473619636,1,-0.019052478177783123,8,1,1,1,1,1,1,-0.513545568890863,-0.500378340000978,-0.23742085518747957,-0.05500701136175168,5,1,2,1,1,1,2006.0,1.0,3,2,2,1
1,-0.3857245588244171,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.019052478177783123,7,1,1,1,1,1,1,-0.4041986919481504,-0.16029748265715876,-0.7258616400703641,-0.27691563839377303,2,1,2,1,1,2,1974.0,6.0,1,1,2,1
1,-0.3857245588244171,-0.00012609021630315037,1,2,0.5213502773691328,1,-0.019052478177783123,9,1,1,1,1,1,1,-0.7322393227762882,-0.40321238075988686,-0.7258616400703641,-0.27691563839377303,3,1,2,1,1,6,1971.0,1.0,3,1,2,1
1,-0.36626795700584797,-0.00012609021630315037,1,2,0.5213502773691328,1,-0.018992872941115697,7,1,1,1,1,1,1,-0.14996720305634356,-0.01454854379552192,-0.3025462931718642,-0.263046349204272,2,1,2,3,4,6,2002.0,4.0,2,1,2,1
1,-0.3857245588244171,-0.00012609021630315037,1,2,0.028080167390640128,1,-0.019052478177783123,10,1,1,1,1,1,1,-0.6502291650692538,-0.6704187686728877,-0.709580280574268,-0.13822274649875932,2,1,2,1,1,1,2013.0,7.0,2,2,2,1
1,-0.3532968891268019,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.01902267555944941,11,1,1,1,1,1,1,-0.8689229189546791,-0.8404591973447973,-1.0514888299922873,0.08368588053326206,1,1,2,1,1,5,2019.0,5.0,1,1,2,1
1,-0.36626795700584797,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.019034596606782896,12,1,1,1,1,0,1,-0.7568423700883986,-0.9376251565858886,-0.1397326982109027,0.08368588053326206,1,2,1,1,1,3,2022.0,2.0,1,3,2,1
1,-0.3532968891268019,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.019082280796116836,13,1,1,1,1,1,1,-0.7049026035406101,-0.7675847279139789,-0.23742085518747957,-0.27691563839377303,3,1,2,1,1,6,1973.0,1.0,2,1,2,1
1,-0.3532968891268019,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.01902267555944941,14,1,1,1,1,1,1,0.0878622542940565,0.32553231354829737,-0.23742085518747957,-0.27691563839377303,2,1,2,3,1,7,2006.0,3.0,3,1,2,1
1,-0.3532968891268019,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.01902267555944941,15,1,1,1,1,1,1,-0.4588721304195067,-0.16029748265715876,-0.7258616400703641,-0.47108568704679227,1,1,2,3,1,2,1967.0,9.0,1,1,2,1
1,-0.3532968891268019,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.01902267555944941,16,1,1,1,1,0,1,-0.5818873669800584,-0.7432932381037062,-0.23742085518747957,0.2223787724282758,2,1,2,1,4,3,2006.0,1.0,2,1,2,1
1,-0.3532968891268019,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.01902267555944941,17,1,1,1,1,1,1,-1.0329432343687481,-1.131957075068071,-0.23742085518747957,-0.05500701136175168,1,1,1,1,1,5,2018.0,12.0,1,2,2,1
1,-0.3532968891268019,-0.00012609021630315037,1,2,-1.2873067925520068,1,-0.01902267555944941,18,1,1,1,1,0,0,-0.6283597896807114,-0.7918762177242518,-0.07460726022651804,0.2223787724282758,1,1,2,1,1,3,2021.0,3.0,1,1,2,1
1,-0.3208692194291868,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.018992872941115697,19,1,1,1,1,1,1,-0.5408822881265412,-0.20888046227770438,-0.23742085518747957,-0.05500701136175168,1,1,2,3,1,2,1960.0,5.0,1,1,2,1
1,-0.3532968891268019,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.01902267555944941,20,1,1,1,1,1,1,-0.7595760420119664,-0.6461272788626149,-0.5630480451094027,-0.27691563839377303,2,1,2,1,1,1,1974.0,5.0,1,1,2,1
1,-0.3532968891268019,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.019052478177783123,21,1,1,1,1,1,1,-0.6775658843049319,-0.6461272788626149,-0.5630480451094027,-0.05500701136175168,3,1,2,1,4,1,1966.0,1.0,1,1,2,1
1,-0.3532968891268019,-0.00012609021630315037,1,1,0.35692690737630184,1,-0.01902267555944941,22,1,1,1,1,1,1,-0.26751509576975957,-0.06313152341606754,-0.7258616400703641,-0.27691563839377303,2,1,2,1,1,2,1965.0,7.0,1,1,2,1
1,-0.3532968891268019,-0.00012609021630315037,1,2,0.35692690737630184,1,-0.01902267555944941,23,1,1,1,1,1,1,-0.13083149959136878,0.0826174154455693,-0.5630480451094027,0.2223787724282758,5,1,2,3,1,2,1955.0,3.0,2,1,2,1
